loan_amount,business_type,location,season,repayment_history,existing_debt_ratio,default_prob
1176,Handicraft,Rural,Lean,0.3155292576579512,0.2745552539738326,0.08650131389492681
1509,Retail,Urban,Planting,0.6683374645772457,0.21231642028559403,0.09840992176712665
910,Livestock,Rural,Lean,0.3767685668128863,0.43235034745151063,0.1407370579255401
1344,Handicraft,Rural,Lean,0.5357327117124606,0.35529231556186147,0.16685855201750965
1180,Livestock,Urban,Harvest,0.3711139226248503,0.15705982730177903,0.2135275595543541
1145,Handicraft,Urban,Lean,0.6646961141213905,0.010373008718559352,-0.018602569661622874
1774,Agriculture,Rural,Harvest,0.46225151568507716,0.12074363249033554,0.11967110843901065
1094,Agriculture,Rural,Harvest,0.3385580850638259,0.03426768119883139,0.06447292449839875
1688,Handicraft,Rural,Lean,0.6226739650715631,0.3452790669107457,0.14467096798713286
171,Retail,Urban,Lean,0.5792697708217105,0.1800774831298867,0.16774229082390268
516,Agriculture,Urban,Harvest,0.3847898311263932,0.33636426601977965,0.2516779576192182
1288,Agriculture,Rural,Harvest,0.43393473640113367,0.2635598986960071,0.20465218120833523
380,Livestock,Rural,Planting,0.3984065381532492,0.4304118485492534,0.21771995187976267
1532,Retail,Urban,Planting,0.604343582274683,0.5790934630308807,0.03314582796302076
137,Retail,Rural,Harvest,0.5484614904813296,0.3834511505070851,0.03629441357462865
1446,Retail,Rural,Lean,0.44088040587283617,0.049574448751304706,0.011365000889286409
1173,Agriculture,Urban,Harvest,0.46186955194901474,0.01400838513192637,0.11938326491478554
921,Agriculture,Urban,Planting,0.4182119740306564,0.17058493302203132,-0.007715300739246159
1737,Agriculture,Urban,Planting,0.4466564661888648,0.339974008976683,0.18474856468379264
180,Agriculture,Rural,Harvest,0.2721161728462691,0.035924022901813846,0.14281430436668727
1735,Handicraft,Rural,Planting,0.27112965098758024,0.2621870438719112,-0.031800949425723285
1382,Retail,Rural,Planting,0.42468629231086674,0.7096205663161219,0.11946088723983916
819,Handicraft,Rural,Lean,0.3024938861076537,0.07201521748173549,0.22341651806587398
393,Handicraft,Rural,Planting,0.460901936094449,0.7588132078156589,0.30236826598845573
1565,Agriculture,Rural,Harvest,0.8916634225478168,0.6853374204072957,0.0682785709797932
1487,Retail,Rural,Lean,0.2845952763982274,0.665424924810831,0.1369095949609871
